id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
183,Nuns With Guns,4.2,25,1012,1044.0,19,9.5,4.4
34,Bourbon Baby,5.8,35,1005,1049.0,44,22.0,4.4
321,Jinx Pale Ale,4.7,35,1008,1043.0,13,7.0,4.6
144,Tokyo*,16.2,85,1028,1157.0,250,127.0,4.4
83,Comet,7.2,70,1012,1067.0,30,15.0,4.4
51,TM10,5.5,20,1005,1048.0,14,7.0,4.2
225,Paradox Islay 2.0,13.0,100,1112,1015.0,300,152.0,4.4
225,Paradox Islay 2.0,13.0,100,1112,1015.0,300,152.0,4.4
185,Tactical Nuclear Penguin,32.0,1157,1028,1157.0,250,127.0,4.4
194,Hardkogt IPA,7.6,175,1014,1072.0,40,20.0,4.4
115,Melon And Cucumber IPA - B-Sides,6.0,50,1010,1050.0,8,4.0,5.2
70,Sunmaid Stout,10.2,50,1102,1026.0,197,100.0,4.4
59,Mandarina Bavaria - IPA Is Dead,7.2,100,1010,1064.0,12,6.0,4.4
130,Spiced Cherry Sour - B-Sides,6.5,20,1010,1060.0,,,3.2
306,AB:25,13.3,35,1020,1113.0,90,46,4.2
43,American Wheat,4.5,17,1013,1047.0,10,5,5.3
123,Candy Kaiser,5.2,45,1009,1049.0,45,22.5,4.2
194,Hardkogt IPA,7.6,175,1014,1072.0,40,20,4.4
53,Baby Dogma,4.5,35,1013,1048.0,40,20,4.4
296,Off-Duty Alien,6.5,50,1010,1060.0,20,10,4.4
193,Blitz Berliner Weisse,3.0,8,1040,1007.0,9,4.5,3.2
325,Zipcode,5.0,37,1006,1044.0,5,3,4.4
148,AB:02,18.0,70,1010,1150.0,57,28.5,4.4
6,Electric India,5.2,38,1005,1045.0,15,7.5,4.4
241,Hello My Name Is Ingrid 2016,8.2,70,1013,1076.0,30,15.2,5.2
218,Monk Hammer,7.2,250,1010,1065.0,15,7.5,4.4
121,Punk Monk,6.0,60,1010,1056.0,17,8.5,4.4
109,Cocoa Psycho,10.0,85,1012,1098.0,30,15.25,4.4
55,Amarillo - IPA Is Dead,7.2,70,1012,1067.0,30,15,4.4
86,Original Dogma (Née Speedball),7.8,60,1012,1071.3,31,15.5,4.3
224,AB:20,14.2,20,1120,1025.0,67,34,4.0
283,AB:24,11.5,50,1019,1110.0,220,112,4.4
222,Dog E,16.1,100,1125,1015.0,500,254,4.4
148,AB:02,18.0,70,1010,1150.0,57,28.5,4.4
243,Gin Blitz,3.2,8,1008,1038.0,8,4,3.2
197,Moshi Moshi 15,5.2,45,1011,1048.0,35,17.5,4.4
10,Bramling X,7.5,75,1013,1068.0,22,11,4.4
118,Bounty Hunter - Shareholder Brew,6.5,35,1020,1068.0,250,125,4.2
54,Albino Squid Assasin,7.4,65,1012,1069.0,60,30,4.2
241,Hello My Name Is Ingrid 2016,8.2,70,1013,1076.0,30,15.2,5.2
322,Jet Trash,6.9,65,1008,1060.0,18,9,4.6
51,TM10,5.5,20,1005,1048.0,14,7,4.2
84,Baby Saison - B-Sides,3.6,9,1004,1032.0,2,1,4.4
98,Pumpkin King,5.4,20,1014,1055.0,30,15,4.4
313,Mallow Mafia,12.0,75,1025,1116.0,390,198,4.4
70,Sunmaid Stout,10.2,50,1102,1026.0,197,100,4.4
310,Clockwork Tangerine,4.5,37,1012,1047.0,20,10,4.2
171,Challenger,6.7,67,1013,1064.0,19,9.5,4.4
216,Barrel Aged Hinterland,9.0,85,1025,1094.0,400,200,4.3
45,The Physics,5.0,47,1010,1048.5,65,32.5,4.4
207,International Arms Race (w/ Flying Dog),7.5,0,1013,1069.0,50,25,4.4
147,Hello My Name Is Little Ingrid,4.4,35,1012,1045.0,30,15,4.4
92,AB:09,11.6,77,1022,1110.0,265,132.5,5.2
14,Alpha Dog,4.5,42,1025,1046.0,62,31,4.4
100,Elvis Juice V2.0 - Prototype Challenge,6.5,60,1010,1060.0,25,12.5,4.4
252,Small Batch: Dortmunder,4.9,32,1009,1049.0,15,7.62,5.2
24,The End Of History,55.0,,1000,1112.0,,,4.4
179,How To Disappear Completely,3.5,198,1010,1037.0,37,19,4.4
276,Nine To Five Wizard,7.5,35,1012,1069.0,20,10,4.3
101,Riptide,8.0,45,1014,1075.0,240,120,4.4
181,Vic Secret,7.4,70,1012,1069.0,30,15,4.4
233,Ace Of Citra,4.5,40,1011,1045.0,18,9,4.2
81,India Session Lager - Prototype Challenge,4.4,35,1007,1040.0,12,6,4.4
188,Paradox Jura,10.0,55,1014,1128.0,300,152,4.4
7,AB:12,11.2,35,1017,1108.0,80,40,5.3
287,Hello My Name Is Marianne,8.2,70,1009,1070.0,15,8,4.4
267,AB:22,12.5,70,1020,1115.0,100,51,4.1
203,Bitch Please (w/ 3 Floyds),11.5,50,1016,1104.0,38,19,4.4
270,Blonde Export Stout,7.0,55,1020,1075.0,16,8,4.4
46,Anarchist Alchemist,16.5,20.5,1000,1112.0,20,10,4.4
47,AB:15,12.8,50,1020,1096.0,111,55.5,4.4
158,Hello My Name Is Zé (w/ 2Cabeças),6.4,50,1012,1061.0,20,10,4.4
38,Belgian Trappist,6.3,55,1012,1060.0,30,15,4.4
129,Hinterland,9.0,85,1025,1094.0,400,200,4.3
10,Bramling X,7.5,75,1013,1068.0,22,11,4.4
242,Crew Brew,8.0,100,1011,1072.0,28,14.2,5.2
195,Hello My Name Is Holy Moose,5.5,35,1011,1053.0,25,12.5,4.4
182,All Day Long - Prototype Challenge,2.8,30,1012,1032.5,42,21,4.4
263,Small Batch: Mandarina Lager,5.3,40,1008,1049.0,7,4,4.3
293,I Wanna Be Your Dog,12.0,55,1035,1125.0,600,305,4.1
163,This. Is. Lager,4.7,37,1007,1043.0,10,6,4.2
159,Black Tokyo Horizon (w/Nøgne Ø & Mikkeller),17.2,75,1030,1156.0,128,64,4.4
210,Dead Metaphor,6.8,30,1016,1068.0,86,43,4.4
205,Shareholder Black IPA 2011,7.1,80,1014,1067.0,71,36,4.4
199,Alice Porter,5.2,55,1013,1053.0,165,82.5,5.2
18,Russian Doll – India Pale Ale,6.0,70,1012,1058.0,25,12.5,5.2
125,Juniper Wheat Beer,5.0,40,1008,1047.0,15,7.5,4.1
53,Baby Dogma,4.5,35,1013,1048.0,40,20,4.4
155,Old World Russian Imperial Stout,9.5,80,1014,1075.0,195,97.5,4.5
265,Pump Action Poet,7.5,40,1013,1070.0,12,6,5.2
222,Dog E,16.1,100,1125,1015.0,500,254,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40,1008,1053.0,177.3,88.7,4.4
139,Born To Die,8.5,85,1007,1072.0,15,7.5,4.4
233,Ace Of Citra,4.5,40,1011,1045.0,18,9,4.2
226,Chili Hammer,7.2,250,1010,1065.0,15,7.5,4.4
197,Moshi Moshi 15,5.2,45,1011,1048.0,35,17.5,4.4
294,Opaque Jake,7.2,20,1009,1065.0,20,10,4.4
269,Small Batch: Imperial Pale Weizen,7.5,25,1010,1067.0,18,9,4.4
159,Black Tokyo Horizon (w/Nøgne Ø & Mikkeller),17.2,75,1030,1156.0,128,64,4.4
212,Hop Fiction - Prototype Challenge,5.2,40,1010,1048.0,13,6.5,4.4
208,Sunshine On Rye - B-Sides,7.2,130,1010,1065.0,14,7,5.2
232,Ace Of Equinox,4.5,40,1011,1045.0,18,9,4.2
221,Blitz Series,3.2,8,1032,1007.0,8,3,3.2
290,Hello My Name Is Niamh,8.2,70,1009,1070.0,15,8,4.4
191,Interstellar,6.5,55,1011,1059.0,50,25,4.4
163,This. Is. Lager,4.7,37,1007,1043.0,10,6,4.2
238,Kingpin,4.7,40,1008,1044.0,14,7,4.2
29,10 Heads High,7.8,70,1015,1074.0,90,45,4.4
234,Neon Overlord,7.6,70,1012,1067.0,20,10,4.4
247,Self Assembly Pope,7.4,75,1016,1072.0,200,101.6,5.1
250,Small Batch: Rye IPA,7.2,100,1010,1065.0,8,16,4.4
197,Moshi Moshi 15,5.2,45,1011,1048.0,35,17.5,4.4
320,King of Eights,7.4,20,1009,1065.0,20,10,4.4
93,Mango Gose - B-Sides,6.4,40,1000,1057.0,10,5,3.5
276,Nine To Five Wizard,7.5,35,1012,1069.0,20,10,4.3
57,Prototype 27,9.2,149,1014,1083.0,19.5,9.8,4.4
246,Casino Rye Ale,5.1,40,1009,1049.0,25,12.7,5.2
198,AB:01,10.2,20,1018,1095.0,16,8,4.1
211,Black Dog,5.5,60,1020,1062.0,230,115,4.4
197,Moshi Moshi 15,5.2,45,1011,1048.0,35,17.5,4.4
315,Baltic Fleet,7.2,45,1016,1071.0,120,61,4.2
283,AB:24,11.5,50,1019,1110.0,220,112,4.4
205,Shareholder Black IPA 2011,7.1,80,1014,1067.0,71,36,4.4
290,Hello My Name Is Niamh,8.2,70,1009,1070.0,15,8,4.4
24,The End Of History,55.0,,1000,1112.0,,,4.4
85,Santa Paws,4.5,35,1013,1048.0,44,22,4.4
58,Coffee Imperial Stout,9.0,65,1019,1080.0,97,49,4.4
22,Devine Rebel (w/ Mikkeller),12.5,100,1030,1093.0,36,18,4.4
191,Interstellar,6.5,55,1011,1059.0,50,25,4.4
78,AB:18,11.8,80,1020,1096.0,115,57.5,5.2
6,Electric India,5.2,38,1005,1045.0,15,7.5,4.4
5,Avery Brown Dredge,7.2,59,1027,1069.0,10,5,4.4
223,Prototype Pils 2.0,4.7,25,1044,1008.0,25,5,4.2
216,Barrel Aged Hinterland,9.0,85,1025,1094.0,400,200,4.3
54,Albino Squid Assasin,7.4,65,1012,1069.0,60,30,4.2
2,Trashy Blonde,4.1,41.5,1010,1041.7,15,15,4.4
136,#Mashtag 2014,9.0,50,1015,1084.0,20,10,4.4
73,Black Eyed King Imp - Vietnamese Coffee Edition,12.7,85,1038,1113.5,250,125,5.2
69,AB:16,10.6,55,1012,1090.0,30,15,4.4
56,Black Eyed King Imp,9.5,85,1022,1095.0,250,125,4.4
126,Jet Black Heart,4.7,45,1019,1055.0,200,100,4.4
238,Kingpin,4.7,40,1008,1044.0,14,7,4.2
241,Hello My Name Is Ingrid 2016,8.2,70,1013,1076.0,30,15.2,5.2
281,Homicidal Puppet Help Desk,11.5,132,1020,1105.0,45,23,4.1
99,Hello My Name Is Päivi,8.3,70,1013,1076.0,30,15,4.4
37,Zephyr,12.5,125,1016,1087.0,40,20,4.4
191,Interstellar,6.5,55,1011,1059.0,50,25,4.4
212,Hop Fiction - Prototype Challenge,5.2,40,1010,1048.0,13,6.5,4.4
323,Interstate Vienna Lager.,5.0,25,1007,1045.0,14,7,4.2
219,Ship Wreck,13.8,60,1015,1088.0,25,13,4.4
62,AB:08,10.43,65,1016,1095.0,23,11.5,4.4
5,Avery Brown Dredge,7.2,59,1027,1069.0,10,5,4.4
306,AB:25,13.3,35,1020,1113.0,90,46,4.2
92,AB:09,11.6,77,1022,1110.0,265,132.5,5.2
176,Old World India Pale Ale,7.5,80,1012,1069.0,50,25,4.4
101,Riptide,8.0,45,1014,1075.0,240,120,4.4
50,Lost Dog (w/Lost Abbey),10.0,35,1012,1080.0,80,40,4.4
242,Crew Brew,8.0,100,1011,1072.0,28,14.2,5.2
108,American Ale,6.3,55,1012,1060.0,30,15,4.4
46,Anarchist Alchemist,16.5,20.5,1000,1112.0,20,10,4.4
165,Barley Wine - Russian Doll,10.0,80,1020,1097.0,65,32.5,4.4
21,Vice Bier,4.3,25,1010,1043.0,30,15,4.0
30,Dana - IPA Is Dead,6.7,70,1015,1066.0,30,15,4.4
44,Dog Wired (w/8 Wired),7.1,65,1010,1065.0,13,6.5,4.4
93,Mango Gose - B-Sides,6.4,40,1000,1057.0,10,5,3.5
168,Jack Hammer,7.2,250,1010,1065.0,15,7.5,4.4
90,#Mashtag 2015,10.0,85,1020,1098.0,130,65,4.4
173,Chinook - IPA Is Dead,7.2,100,1010,1064.0,12,6,4.4
46,Anarchist Alchemist,16.5,20.5,1000,1112.0,20,10,4.4
162,77 Lager,4.9,30,1009,1047.0,12,6,4.4
283,AB:24,11.5,50,1019,1110.0,220,112,4.4
303,Hazy Jane Rye Barrel Aged,7.2,30,1009,1065.0,15,8,4.2
91,Dead Pony Club,3.8,35,1012,1040.0,25,12.7,4.4
29,10 Heads High,7.8,70,1015,1074.0,90,45,4.4
311,Sonic Boom,6.5,60,1008,1058.0,11,6,4.6
127,Galaxy,6.7,67,1064,1013.0,19,9.5,4.4
259,Tropic Thunder,7.0,25,1020,1074.0,170,86.36,4.2
216,Barrel Aged Hinterland,9.0,85,1025,1094.0,400,200,4.3
2,Trashy Blonde,4.1,41.5,1010,1041.7,15,15,4.4
232,Ace Of Equinox,4.5,40,1011,1045.0,18,9,4.2
3,Berliner Weisse With Yuzu - B-Sides,4.2,8,1007,1040.0,8,4,3.2
169,AB:19,13.1,,,,,,
267,AB:22,12.5,70,1020,1115,100,51,4.1
130,Spiced Cherry Sour - B-Sides,6.5,20,1010,1060,,,3.2
191,Interstellar,6.5,55,1011,1059,50,25,4.4
236,Science IPA,5.0,,1011,1050,24,47,4.4
228,Prototype Helles,4.9,18,1047,1010,13,6.6,4.2
239,#Mashtag 2016,10.5,100,1010,1090,15,8,4.4
20,Rabiator,10.27,26,1014,1092,24,12,4.4
183,Nuns With Guns,4.2,25,1012,1044,19,9.5,4.4
109,Cocoa Psycho,10.0,85,1012,1098,30,15.25,4.4
51,TM10,5.5,20,1005,1048,14,7,4.2
57,Prototype 27,9.2,149,1014,1083,19.5,9.8,4.4
300,Indie Pale Ale,4.2,30,1008,1044,16.6,8,4.6
315,Baltic Fleet,7.2,45,1016,1071,120,61,4.2
78,AB:18,11.8,80,1020,1096,115,57.5,5.2
191,Interstellar,6.5,55,1011,1059,50,25,4.4
244,AB:21,12.0,100,1015,1130,200,101.6,5.1
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),4.6,30,1008,1043,15,7.5,4.4
180,Doodlebug,2.5,35,1008,1027,10,5,4.2
41,AB:17,10.7,100,1025,1105,300,150,4.3
21,Vice Bier,4.3,25,1010,1043,30,15,4
50,Lost Dog (w/Lost Abbey),10.0,35,1012,1080,80,40,4.4
308,Very Big Moose,12.0,25,1038,1128,100,50,4.4
70,Sunmaid Stout,10.2,50,1102,1026,197,100,4.4
188,Paradox Jura,10.0,55,1014,1128,300,152,4.4
115,Melon And Cucumber IPA - B-Sides,6.0,50,1010,1050,8,4,5.2
33,Sorachi Ace,7.5,75,1013,1068,30,15,4.4
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,3.6,8,1007,1040,,,3.2
102,Peach Therapy,9.0,30,1000,1071,12,6,3.6
211,Black Dog,5.5,60,1020,1062,230,115,4.4
153,Hoppy Saison - B-Sides,6.4,40,1010,1059,8,4,5.2
33,Sorachi Ace,7.5,75,1013,1068,30,15,4.4
202,Dog C,15.0,90,1003,1120,100,50,4.4
132,5am Saint,5.0,30,1012,1050,60,30.5,4.4
126,Jet Black Heart,4.7,45,1019,1055,200,100,4.4
262,Small Batch: Vermont IPA V2.0,6.9,35,1012,1066,15,7.6,4.2
130,Spiced Cherry Sour - B-Sides,6.5,20,1010,1060,,,3.2
81,India Session Lager - Prototype Challenge,4.4,35,1007,1040,12,6,4.4
276,Nine To Five Wizard,7.5,35,1012,1069,20,10,4.3
103,Clown King,12.0,85,1020,1130,24,12,4.4
161,Tokyo Rising Sun - Highland,13.2,85,1023,1125,140,71,4.4
121,Punk Monk,6.0,60,1010,1056,17,8.5,4.4
105,Hello My Name Is Beastie,8.2,42,1013,1078,90,45,4.4
2,Trashy Blonde,4.1,41.5,1010,1041.7,15,15,4.4
21,Vice Bier,4.3,25,1010,1043,30,15,4
95,Peroxide Punk,4.0,40,1009,1039,18,9,4.4
237,Honey And Lemon Blitz,3.2,,1008,1039,8,4,3.2
190,Hello My Name is Sonja (w/ Evil Twin),8.3,70,1013,1076,30,15,4.4
122,Dog Fight (w/ Flying Dog),8.5,65,1012,1078,31.2,15.6,4.4
154,No Label,4.5,25,1009,1043,10,5,4.2
296,Off-Duty Alien,6.5,50,1010,1060,20,10,4.4
277,Prototype Blonde Ale,4.5,15,1009,1044,12,6,4.6
181,Vic Secret,7.4,70,1012,1069,30,15,4.4
58,Coffee Imperial Stout,9.0,65,1019,1080,97,49,4.4
37,Zephyr,12.5,125,1016,1087,40,20,4.4
174,Konnichiwa Kitsune,4.4,70,1012,1045,30,15,4.4
313,Mallow Mafia,12.0,75,1025,1116,390,198,4.4
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
63,Sunk Punk,7.1,68,1010,1056,14,7,4.4
57,Prototype 27,9.2,149,1014,1083,19.5,9.8,4.4
109,Cocoa Psycho,10.0,85,1012,1098,30,15.25,4.4
130,Spiced Cherry Sour - B-Sides,6.5,20,1010,1060,,,3.2
289,Hello My Name Is Lieke,8.2,70,1009,1070,15,8,4.4
138,Dog A,15.0,90,1003,1120,100,50,4.4
84,Baby Saison - B-Sides,3.6,9,1004,1032,2,1,4.4
325,Zipcode,5.0,37,1006,1044,5,3,4.4
2,Trashy Blonde,4.1,41.5,1010,1041.7,15,15,4.4
185,Tactical Nuclear Penguin,32.0,1157,1028,1157,250,127,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85,1015,1063,24,12,4.2
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
6,Electric India,5.2,38,1005,1045,15,7.5,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85,1015,1063,24,12,4.2
224,AB:20,14.2,20,1120,1025,67,34,4
27,Dog B,15.0,90,1003,1120,100,50,4.4
120,AB:10,11.5,80,1020,1096,115,57.5,4.4
158,Hello My Name Is Zé (w/ 2Cabeças),6.4,50,1012,1061,20,10,4.4
195,Hello My Name Is Holy Moose,5.5,35,1011,1053,25,12.5,4.4
258,Paradox Rye,13.0,100,1015,1112,300,152,4.4
28,HBC 369,6.7,67,1064,1013,19,9.5,4.4
53,Baby Dogma,4.5,35,1013,1048,40,20,4.4
288,Hello My Name Is Agnetha,8.2,70,1009,1070,15,8,4.4
44,Dog Wired (w/8 Wired),7.1,65,1010,1065,13,6.5,4.4
96,Lumberjack Stout,15.2,20,1020,1110,158,79,4.4
126,Jet Black Heart,4.7,45,1019,1055,200,100,4.4
197,Moshi Moshi 15,5.2,45,1011,1048,35,17.5,4.4
88,Bavarian Weizen,6.3,55,1012,1060,30,15,4.4
258,Paradox Rye,13.0,100,1015,1112,300,152,4.4
30,Dana - IPA Is Dead,6.7,70,1015,1066,30,15,4.4
46,Anarchist Alchemist,16.5,20.5,1000,1112,20,10,4.4
284,Hello My Name Is Helga,8.2,70,1009,1070,15,8,4.4
199,Alice Porter,5.2,55,1013,1053,165,82.5,5.2
290,Hello My Name Is Niamh,8.2,70,1009,1070,15,8,4.4
144,Tokyo*,16.2,85,1028,1157,250,127,4.4
250,Small Batch: Rye IPA,7.2,100,1010,1065,8,16,4.4
193,Blitz Berliner Weisse,3.0,8,1040,1007,9,4.5,3.2
319,Grano Giusto,5.5,28,1009,1052,55,28,4.3
187,Lichtenstein Pale Ale,5.2,50,1010,1050,17,8.5,4.4
94,Everday Anarchy,10.5,45,1005,1081,15,7.5,4.4
141,Cap Dog (w/ Cap Brewery),9.0,80,1014,1083,180,90,5.2
13,Movember,4.5,50,1012,1047,140,70,5.2
151,Rhubarb Saison - B-Sides,6.4,25,1008,1052,10,5,5.2
70,Sunmaid Stout,10.2,50,1102,1026,197,100,4.4
248,Twin Atlantic,5.0,80,1011,1048,19,9.7,5.2
7,AB:12,11.2,35,1017,1108,80,40,5.3
136,#Mashtag 2014,9.0,50,1015,1084,20,10,4.4
5,Avery Brown Dredge,7.2,59,1027,1069,10,5,4.4
56,Black Eyed King Imp,9.5,85,1022,1095,250,125,4.4
284,Hello My Name Is Helga,8.2,70,1009,1070,15,8,4.4
225,Paradox Islay 2.0,13.0,100,1112,1015,300,152,4.4
179,How To Disappear Completely,3.5,198,1010,1037,37,19,4.4
45,The Physics,5.0,47,1010,1048.5,65,32.5,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40,1008,1053,177.3,88.7,4.4
163,This. Is. Lager,4.7,37,1007,1043,10,6,4.2
161,Tokyo Rising Sun - Highland,13.2,85,1023,1125,140,71,4.4
157,Edge,2.7,36,1010,1033,57,29,4.4
173,Chinook - IPA Is Dead,7.2,100,1010,1064,12,6,4.4
227,Brewdog Vs Beavertown,9.2,50,1085,1016,78.8,40,4.2
14,Alpha Dog,4.5,42,1025,1046,62,31,4.4
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
222,Dog E,16.1,100,1125,1015,500,254,4.4
252,Small Batch: Dortmunder,4.9,32,1009,1049,15,7.62,5.2
102,Peach Therapy,9.0,30,1000,1071,12,6,3.6
